symbol,exchange,date,adjusted close,option symbol,expiration,strike,log(strike),call/put,style,ask,log(ask),bid,log(bid),mean price,log(mean price),iv,volume,log(volume),open interest,log(open interest),stock price for iv,*,delta,vega,gamma,theta,rho
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00010000,03-01-2020,10,1,C,A,3.1,0.491361694,2.35,0.371067862,2.725,0.435366507,0.895895,1,0,102,2.008600172,12.7,*,0.998583,0.000053,0.004491,-0.00129,0.00082
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00010500,03-01-2020,10.5,1.021189299,C,A,2.46,0.390935107,1.92,0.283301229,2.19,0.340444115,0.895895,26,1.414973348,27,1.431363764,12.7,*,0.991449,0.000268,0.02253,-0.004509,0.000854
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00011000,03-01-2020,11,1.041392685,C,A,2.34,0.369215857,1.24,0.093421685,1.79,0.252853031,0.895895,22,1.342422681,105,2.021189299,12.7,*,0.964988,0.00089,0.074931,-0.013809,0.000866
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00011000,03-01-2020,11,1.041392685,P,A,0.02,-1.698970004,0.01,-2,0.015,-1.823908741,0.895895,111,2.045322979,1346,3.12904506,12.7,*,-0.035012,0.00089,0.074931,-0.013265,-0.000038
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00011500,03-01-2020,11.5,1.06069784,C,A,1.78,0.250420002,0.89,-0.050609993,1.335,0.125481266,0.895895,33,1.51851394,520,2.716003344,12.7,*,0.896968,0.002065,0.173878,-0.031336,0.000833
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00011500,03-01-2020,11.5,1.06069784,P,A,0.03,-1.522878745,0.01,-2,0.02,-1.698970004,0.895895,137,2.136720567,1527,3.183839037,12.7,*,-0.103032,0.002065,0.173878,-0.030768,-0.000112
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00012000,03-01-2020,12,1.079181246,C,A,0.94,-0.026872146,0.75,-0.124938737,0.845,-0.073143291,0.895895,891,2.949877704,1430,3.155336037,12.7,,0.770493,0.003492,0.294018,-0.052582,0.000735
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00012000,03-01-2020,12,1.079181246,P,A,0.14,-0.853871964,0.03,-1.522878745,0.085,-1.070581074,0.895895,1562,3.19368103,2445,3.388278863,12.7,*,-0.229507,0.003492,0.294018,-0.051989,-0.000251
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00012500,03-01-2020,12.5,1.096910013,P,A,0.28,-0.552841969,0.14,-0.853871964,0.21,-0.677780705,0.926442,1851,3.267406419,2417,3.38327665,12.7,*,-0.407974,0.004506,0.365755,-0.069088,-0.000413
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00013000,03-01-2020,13,1.113943352,C,A,0.42,-0.37675071,0.22,-0.657577319,0.32,-0.494850022,0.976287,1746,3.242044239,2074,3.316808752,12.7,,0.413773,0.004486,0.346584,-0.073232,0.000406
